"state","date","population.density","stay.home.ind","mask.ind","holiday.ind","incremental.cases_contracted"
"Hawaii","2020-12-02","129.94",0,0,0,"104"
"Hawaii","2020-12-03","129.94",0,0,0,"136"
"Hawaii","2020-12-04","129.94",0,0,0,"156"
"Hawaii","2020-12-05","129.94",0,0,0,"152"
"Hawaii","2020-12-06","129.94",0,0,0,"202"
"Hawaii","2020-12-07","129.94",0,0,0,"132"
"Hawaii","2020-12-08","129.94",0,0,0,"64"
"Hawaii","2020-12-09","129.94",0,0,0,"95"
"Hawaii","2020-12-10","129.94",0,0,0,"125"
"Hawaii","2020-12-11","129.94",0,0,0,"154"
"Hawaii","2020-12-12","129.94",0,0,0,"109"
"Hawaii","2020-12-13","129.94",0,0,0,"94"
"Hawaii","2020-12-14","129.94",0,0,0,"45"
"Hawaii","2020-12-15","129.94",0,0,0,"71"
"Hawaii","2020-12-16","129.94",0,0,0,"104"
"Hawaii","2020-12-17","129.94",0,0,0,"175"
"Hawaii","2020-12-18","129.94",0,0,0,"277"
"Hawaii","2020-12-19","129.94",0,0,0,"159"
"Hawaii","2020-12-20","129.94",0,0,0,"122"
"Hawaii","2020-12-21","129.94",0,0,0,"75"
"Hawaii","2020-12-22","129.94",0,0,0,"107"
"Hawaii","2020-12-23","129.94",0,0,0,"126"
"Hawaii","2020-12-24","129.94",0,0,0,"286"
"Hawaii","2020-12-25","129.94",0,0,1,"283"
"Hawaii","2020-12-26","129.94",0,0,0,"228"
"Hawaii","2020-12-27","129.94",0,0,0,"178"
"Hawaii","2020-12-28","129.94",0,0,0,"162"
"Hawaii","2020-12-29","129.94",0,0,0,"108"
"Hawaii","2020-12-30","129.94",0,0,0,"93"
"Hawaii","2020-12-31","129.94",0,0,0,"164"
"Hawaii","2021-01-01","129.94",0,0,1,"205"
"Hawaii","2021-01-02","129.94",0,0,0,"156"
"Hawaii","2021-01-03","129.94",0,0,0,"121"
"Hawaii","2021-01-04","129.94",0,0,0,"115"
"Hawaii","2021-01-05","129.94",0,0,0,"59"
"Hawaii","2021-01-06","129.94",0,0,0,"68"
"Hawaii","2021-01-07","129.94",0,0,0,"112"
"Hawaii","2021-01-08","129.94",0,0,0,"160"
"Hawaii","2021-01-09","129.94",0,0,0,"127"
"Hawaii","2021-01-10","129.94",0,0,0,"143"
"Hawaii","2021-01-11","129.94",0,0,0,"116"
"Hawaii","2021-01-12","129.94",0,0,0,"63"
"Hawaii","2021-01-13","129.94",0,0,0,"94"
"Hawaii","2021-01-14","129.94",0,0,0,"94"
"Hawaii","2021-01-15","129.94",0,0,0,"139"
"Hawaii","2021-01-16","129.94",0,0,0,"109"
"Hawaii","2021-01-17","129.94",0,0,0,"78"
"Hawaii","2021-01-18","129.94",0,0,1,"84"
"Hawaii","2021-01-19","129.94",0,0,0,"62"
"Hawaii","2021-01-20","129.94",0,0,0,"68"
"Hawaii","2021-01-21","129.94",0,0,0,"101"
"Hawaii","2021-01-22","129.94",0,0,0,"120"
"Hawaii","2021-01-23","129.94",0,0,0,"104"
"Hawaii","2021-01-24","129.94",0,0,0,"73"
"Hawaii","2021-01-25","129.94",0,0,0,"30"
"Hawaii","2021-01-26","129.94",0,0,0,"28"
"Hawaii","2021-01-27","129.94",0,0,0,"51"
"Hawaii","2021-01-28","129.94",0,0,0,"84"
"Hawaii","2021-01-29","129.94",0,0,0,"81"
"Hawaii","2021-01-30","129.94",0,0,0,"57"
"Hawaii","2021-01-31","129.94",0,0,0,"43"
"Hawaii","2021-02-01","129.94",0,0,0,"31"
"Hawaii","2021-02-02","129.94",0,0,0,"16"
"Hawaii","2021-02-03","129.94",0,0,0,"27"
"Hawaii","2021-02-04","129.94",0,0,0,"60"
"Hawaii","2021-02-05","129.94",0,0,0,"56"
"Hawaii","2021-02-06","129.94",0,0,0,"49"
"Hawaii","2021-02-07","129.94",0,0,0,"64"
"Hawaii","2021-02-08","129.94",0,0,0,"49"
"Hawaii","2021-02-09","129.94",0,0,0,"44"
"Hawaii","2021-02-10","129.94",0,0,0,"43"
"Hawaii","2021-02-11","129.94",0,0,0,"36"
"Hawaii","2021-02-12","129.94",0,0,0,"73"
"Hawaii","2021-02-13","129.94",0,0,0,"99"
"Hawaii","2021-02-14","129.94",0,0,0,"54"
"Hawaii","2021-02-15","129.94",0,0,0,"26"
"Hawaii","2021-02-16","129.94",0,0,0,"33"
"Hawaii","2021-02-17","129.94",0,0,0,"17"
"Hawaii","2021-02-18","129.94",0,0,0,"55"
"Hawaii","2021-02-19","129.94",0,0,0,"89"
"Hawaii","2021-02-20","129.94",0,0,0,"81"
"Hawaii","2021-02-21","129.94",0,0,0,"47"
"Hawaii","2021-02-22","129.94",0,0,0,"41"
"Hawaii","2021-02-23","129.94",0,0,0,"41"
"Hawaii","2021-02-24","129.94",0,0,0,"41"
"Hawaii","2021-02-25","129.94",0,0,0,"54"
"Hawaii","2021-02-26","129.94",0,0,0,"158"
"Hawaii","2021-02-27","129.94",0,0,0,"62"
"Hawaii","2021-02-28","129.94",0,0,0,"50"
"Hawaii","2021-03-01","129.94",0,0,0,"44"
"Hawaii","2021-03-02","129.94",0,0,0,"45"
"Hawaii","2021-03-03","129.94",0,0,0,"66"
"Hawaii","2021-03-04","129.94",0,0,0,"86"
"Hawaii","2021-03-05","129.94",0,0,0,"169"
"Hawaii","2021-03-06","129.94",0,0,0,"85"
"Hawaii","2021-03-07","129.94",0,0,0,"71"
"Hawaii","2021-03-08","129.94",0,0,0,"78"
"Hawaii","2021-03-09","129.94",0,0,0,"38"
"Hawaii","2021-03-10","129.94",0,0,0,"NA"
"Hawaii","2021-03-11","129.94",0,0,0,"NA"
"Hawaii","2021-03-12","129.94",0,0,0,"NA"
"Hawaii","2021-03-13","129.94",0,0,0,"NA"
"Hawaii","2021-03-14","129.94",0,0,0,"NA"
"Hawaii","2021-03-15","129.94",0,0,0,"NA"
"Hawaii","2021-03-16","129.94",0,0,0,"NA"
"Hawaii","2021-03-17","129.94",0,0,0,"NA"
"Hawaii","2021-03-18","129.94",0,0,0,"NA"
"Hawaii","2021-03-19","129.94",0,0,0,"NA"
"Hawaii","2021-03-20","129.94",0,0,0,"NA"
"Hawaii","2021-03-21","129.94",0,0,0,"NA"
"Hawaii","2021-03-22","129.94",0,0,0,"NA"
"Hawaii","2021-03-23","129.94",0,0,0,"NA"
